aX,aY,aZ,Gx,Gy,Gz
-4.924,2.938,-5.307,-41.87,-95.581,-96.069
-6.106,1.081,-3.742,-79.163,-157.044,-179.077
-7.216,0.55,-3.278,-84.9,-229.309,-166.321
-5.857,1.383,-3.455,-91.37,-283.203,-155.579
-5.01,4.436,-3.058,-121.216,-333.557,-132.202
-6.015,7.345,-2.598,-170.227,-374.939,-100.281
-5.383,10.159,-1.603,-234.375,-431.03,-154.602
-10.838,14.15,6.292,-288.147,-518.005,-125.244
-20.37,41.157,25.452,-394.348,-584.961,103.821
14.595,62.973,47.976,-730.469,-377.075,-247.131
135.128,23.466,24.749,-790.649,841.675,504.211
141.631,-5.948,-43.674,-96.497,1999.939,645.813
61.264,14.221,8.991,895.935,1813.843,1111.938
2.775,40.468,54.489,209.778,1433.35,-321.045
6.838,-55.967,38.075,30.334,853.394,197.693
7.211,-28.673,26.026,359.985,395.996,605.53
-4.259,7.8,31.395,286.56,25.94,216.003
5.493,-5.245,32.056,159.729,-17.639,-107.483
12.882,-20.524,21.174,111.633,41.504,26.794
3.474,-13.839,16.437,26.611,85.388,84.9
-0.282,-12.815,15.092,-48.401,82.703,23.315
-3.996,0.646,13.796,-79.956,75.562,129.517
-7.781,5.245,10.829,-132.263,66.162,52.917
-8.522,8.977,5.694,-196.899,49.744,-95.642
-3.594,7.479,0.292,-259.277,26.917,-133.118
-6.068,5.398,-0.435,-286.926,-0.732,-98.572
-7.168,9.676,-0.569,-311.585,-48.889,-111.206
-4.182,14.437,-2.407,-353.455,-97.29,-212.708
-6.532,21.332,-8.709,-396.484,-153.442,-283.386
-2.187,22.466,-9.092,-427.734,-207.947,-303.955
-0.962,13.485,-7.345,-386.78,-220.398,-254.456
-3.23,15.03,-5.747,-317.749,-198.303,-83.313
-2.211,12.571,-4.039,-260.193,-151.978,-77.454
-3.311,10.666,-2.153,-218.506,-114.868,-46.082
-5.359,11.834,-1.919,-207.642,-103.333,-73.669
-3.704,9.886,-3.182,-205.139,-110.535,-91.553
-4.627,8.963,-4.666,-189.453,-111.023,5.371
-3.522,9.8,-5.675,-179.382,-116.882,-167.603
-2.393,7.23,-5.776,-143.311,-126.526,-226.196
-3.268,5.809,-7.843,-76.294,-126.16,-137.634
-1.842,2.541,-5.675,-20.691,-118.774,-142.822
-1.345,-1.163,-4.666,61.584,-104.553,-157.288
1.058,-1.57,-3.335,101.502,-79.102,-205.566
0.01,-2.206,-3.354,103.455,-55.542,-124.939
-0.952,1.254,-1.258,71.838,-57.251,-42.664
-2.421,1.876,1.818,30.334,-56.519,-78.247
0.976,4.532,-0.727,-33.813,-53.772,-130.066
1.656,2.608,0.842,-81.543,-46.021,-103.088
0.531,1.675,2.0,-109.436,-50.476,-71.106
0.345,-0.498,2.311,-111.511,-54.443,-55.725
0.665,-0.976,3.508,-90.942,-54.443,-56.824
0.651,-1.019,1.426,-57.19,-54.321,-77.576
1.029,-1.732,-0.502,-28.992,-47.852,-75.928
2.699,-1.593,-0.153,-17.761,-35.034,-27.344
1.306,1.215,1.684,-27.527,-19.409,58.716
-0.077,0.574,1.201,-42.053,-13.672,85.876
-1.316,-1.704,1.125,-57.8,-17.7,10.071
-0.397,-2.866,1.058,-60.059,-22.644,-47.729
0.177,-3.417,0.373,-49.377,-25.513,2.869
-0.799,-2.35,0.713,-39.612,-27.161,89.233
-0.593,-0.947,0.278,-45.898,-30.823,115.967
-1.904,1.89,-0.23,-74.341,-34.729,112.061
-0.88,2.345,-0.809,-117.554,-39.307,11.536
-3.948,1.077,1.22,-143.25,-56.702,-74.707
-1.708,0.555,-0.407,-157.227,-76.599,-107.056
0.828,-1.163,0.22,-156.738,-83.557,-116.821
1.771,-3.0,-0.373,-141.419,-86.731,-112.854
0.536,-1.584,-0.1,-122.07,-86.426,-56.58
0.158,2.761,0.081,-122.131,-81.787,2.747
1.335,0.656,-0.239,-127.991,-69.458,0.0
3.139,1.383,-1.464,-132.202,-52.368,-10.254
2.498,0.144,-1.225,-128.479,-29.48,41.748
1.718,0.144,-1.134,-116.394,-9.766,67.078
2.737,-0.675,-1.474,-99.976,2.808,54.077
1.981,-1.225,-0.66,-68.665,9.216,51.209
1.383,-1.747,-1.043,-38.696,8.179,37.659
3.072,-2.105,-1.345,-10.742,6.958,-0.061
2.101,-1.464,-1.732,9.766,7.69,21.973
0.115,0.675,-2.335,16.785,2.93,67.627
0.589,0.282,-2.996,18.188,-0.549,33.936
1.163,-0.306,-3.029,23.804,4.578,-21.301
0.857,-0.057,-2.598,36.011,17.578,-8.118
0.928,0.971,-2.163,52.246,32.532,64.331
-0.718,-0.234,-0.641,70.74,37.964,130.188
-0.373,0.105,-0.876,92.102,34.668,132.08
3.622,2.105,-3.129,93.506,39.917,105.835
4.651,2.043,-3.101,89.783,56.763,69.58
0.019,1.239,-0.617,103.21,52.612,46.936
-3.168,2.622,0.421,131.409,22.827,95.764
-1.938,3.397,0.617,160.584,-12.573,13.672
-2.67,3.546,3.235,192.078,-32.043,36.072
-0.651,3.139,5.972,217.163,-35.95,15.259
-0.153,2.909,4.168,221.619,-5.066,-18.494
-0.345,1.632,3.78,206.848,29.358,-85.754
-0.656,1.392,3.895,183.777,67.566,-55.725
-2.474,-0.354,2.531,167.603,85.571,29.724
-5.154,-1.297,2.976,146.057,78.369,42.786
-4.804,-1.321,2.383,116.699,66.345,35.278
-3.752,-1.962,0.191,86.487,61.768,59.143
0.746,-0.885,-0.12,45.166,78.125,68.42
-0.057,-0.823,-0.55,7.568,92.957,52.673
-4.905,-3.383,-1.436,-12.207,83.069,57.983
-2.833,-5.201,0.139,8.484,55.908,62.256
-1.933,-5.087,-0.79,54.199,26.978,45.471
-2.426,-3.445,0.163,111.267,-5.31,-2.319
-0.641,-1.292,0.22,141.48,-25.94,-72.632
-0.656,-1.613,0.187,152.893,-35.706,2.014
